ID,Actual_Label,LLM_Prediction,Label,IP_Reputation_Found,Latency,Tokens,Length
4897774,0.8119134825443559,2.0,1,0,12.643,211,988
4873633,0.8189606312431842,2.0,1,0,11.614,180,890
4888262,0.8432567162166931,0.5,1,0,14.859000000000002,205,1003
5734557,0.8023253824700861,0.6,1,0,10.654,184,938
5934899,0.8314869355814709,0.5,1,0,10.057,156,754
5935054,0.8320873513750933,0.45,0,0,12.271,203,985
5934518,0.803738562890639,2.0,1,0,9.777,169,854
5934550,0.8062812914478666,0.6,1,0,9.402999999999999,206,969
5934332,0.8110625017301235,0.5,1,0,12.132000000000001,205,993
5934140,0.8033922185749496,0.55,1,0,9.501,196,949
5933569,0.8050071234533224,0.4,0,0,10.58,160,752
