ID,Layer,Mode,Score_Autoencoder,LLM_Prediction,Label,IP_Reputation_Found,Latency_Total,Tokens_Total,Length_Total
3954908,augmented,synthetic,0.8417948798285722,0.7,0,1,3.303,143,651
3944337,augmented,synthetic,0.80258646441367,0.6,0,1,3.05,116,516
3948663,augmented,synthetic,0.8445521482235792,0.6,0,1,2.777,126,574
3947144,augmented,synthetic,0.826043026121148,0.7,0,1,3.65,125,564
3947329,augmented,synthetic,0.8024294086434296,0.7,0,1,3.563,129,585
3950288,augmented,synthetic,0.8437107934840288,0.4,0,1,2.604,135,635
3964703,augmented,synthetic,0.8112818669896725,0.6,0,1,3.013,143,628
3943031,augmented,synthetic,0.8293436390133634,0.6,0,1,3.139,139,631
3963093,augmented,synthetic,0.8063714144694881,0.6,0,1,2.556,124,566
3960531,augmented,synthetic,0.8025278548740561,0.6,0,1,2.468,125,582
3779107,augmented,synthetic,0.8162652502580151,0.7,0,1,3.027,138,608
3984734,augmented,synthetic,0.8242453863610564,0.4,0,1,3.075,131,624
3963251,augmented,synthetic,0.8422082140376016,0.6,0,1,2.777,125,557
3949953,augmented,synthetic,0.8106215020265255,0.4,0,1,2.817,131,589
3980084,augmented,synthetic,0.8479173415406471,0.6,0,1,2.8,133,587
3983146,augmented,synthetic,0.8092932309947634,0.6,0,1,2.349,143,654
3983092,augmented,synthetic,0.8117803361076306,0.4,0,1,2.841,136,573
3959463,augmented,synthetic,0.8307228989888438,0.7,0,1,2.602,128,608
3987843,augmented,synthetic,0.8048140478413537,0.6,0,1,2.617,121,540
3983993,augmented,synthetic,0.8474509791931327,0.7,0,1,2.872,136,633
3977658,augmented,synthetic,0.8179410382126298,0.7,0,1,3.273,131,598
3985606,augmented,synthetic,0.8416884621692814,0.6,0,1,2.546,126,575
3982922,augmented,synthetic,0.804623244359111,0.4,0,1,3.116,148,676
3979232,augmented,synthetic,0.830184461540051,0.6,0,1,2.818,123,565
3979114,augmented,synthetic,0.8170279452561081,0.7,0,1,3.335,145,649
4002196,augmented,synthetic,0.803645491565781,0.6,0,1,2.727,117,516
3994076,augmented,synthetic,0.8061016015831394,0.7,0,1,3.182,143,668
3994482,augmented,synthetic,0.8285910517364143,0.4,0,1,2.821,124,563
3999160,augmented,synthetic,0.8367399969503149,0.6,0,1,4.891,134,634
3997618,augmented,synthetic,0.8356647871494094,0.6,0,1,2.764,128,573
4000622,augmented,synthetic,0.8417155510443214,0.7,0,1,3.691,143,645
3997122,augmented,synthetic,0.8096219354192364,0.6,0,1,2.829,140,656
3992888,augmented,synthetic,0.8048404250979908,0.5,0,1,3.397,138,633
4036102,augmented,synthetic,0.8081324561440641,0.4,0,1,3.745,139,603
4016826,augmented,synthetic,0.806690492252929,0.7,0,1,3.182,136,618
4035419,augmented,synthetic,0.812282658256217,0.4,0,1,2.782,129,583
4035623,augmented,synthetic,0.8364794252115058,0.6,0,1,3.02,121,577
3761896,augmented,synthetic,0.8170634269995499,0.6,0,1,2.625,125,593
4020158,augmented,synthetic,0.8003753294011545,0.7,0,1,2.757,137,622
4015943,augmented,synthetic,0.8359482800310539,0.6,0,1,4.45,152,654
4015278,augmented,synthetic,0.8213823551134587,0.6,0,1,2.36,123,552
