ID,Layer,Mode,Score_Autoencoder,LLM_Prediction,Label,IP_Reputation_Found,Latency_Total,Tokens_Total,Length_Total
3954908,baseline,default,0.8417948798285722,0.3,0,0,3.83,120,523
3944337,baseline,default,0.80258646441367,0.3,0,0,2.577,130,573
3948663,baseline,default,0.8445521482235792,0.3,0,0,3.621,152,689
3947144,baseline,default,0.826043026121148,0.4,0,0,2.763,130,532
3947329,baseline,default,0.8024294086434296,0.3,0,0,3.194,125,542
3950288,baseline,default,0.8437107934840288,0.4,0,0,2.749,116,514
3964703,baseline,default,0.8112818669896725,0.4,0,0,3.06,137,626
3943031,baseline,default,0.8293436390133634,0.3,0,0,3.16,126,564
3963093,baseline,default,0.8063714144694881,0.4,0,0,3.078,124,546
3960531,baseline,default,0.8025278548740561,0.3,0,0,3.242,144,680
3779107,baseline,default,0.8162652502580151,0.3,0,0,2.478,139,618
3984734,baseline,default,0.8242453863610564,0.3,0,0,3.015,130,587
3963251,baseline,default,0.8422082140376016,0.4,0,0,3.451,127,552
3949953,baseline,default,0.8106215020265255,0.3,0,0,3.278,133,559
3980084,baseline,default,0.8479173415406471,0.3,0,0,3.36,138,600
3983146,baseline,default,0.8092932309947634,0.4,0,0,3.474,155,664
3983092,baseline,default,0.8117803361076306,0.4,0,0,2.868,132,610
3959463,baseline,default,0.8307228989888438,0.3,0,0,2.598,140,619
3987843,baseline,default,0.8048140478413537,0.3,0,0,2.721,129,609
3983993,baseline,default,0.8474509791931327,0.4,0,0,3.487,121,549
3977658,baseline,default,0.8179410382126298,0.4,0,0,2.663,140,559
3985606,baseline,default,0.8416884621692814,0.4,0,0,2.515,137,551
3982922,baseline,default,0.804623244359111,0.3,0,0,2.402,132,577
3979232,baseline,default,0.830184461540051,0.4,0,0,3.678,140,594
3979114,baseline,default,0.8170279452561081,0.4,0,0,2.588,109,495
4002196,baseline,default,0.803645491565781,0.4,0,0,3.096,112,509
3994076,baseline,default,0.8061016015831394,0.4,0,0,3.647,123,571
3994482,baseline,default,0.8285910517364143,0.3,0,0,2.547,122,536
3999160,baseline,default,0.8367399969503149,0.3,0,0,2.964,122,521
3997618,baseline,default,0.8356647871494094,0.4,0,0,2.726,122,550
4000622,baseline,default,0.8417155510443214,0.3,0,0,2.698,127,594
3997122,baseline,default,0.8096219354192364,0.3,0,0,2.309,134,584
3992888,baseline,default,0.8048404250979908,0.4,0,0,3.129,121,568
4036102,baseline,default,0.8081324561440641,0.3,0,0,2.446,144,619
4016826,baseline,default,0.806690492252929,0.3,0,0,2.535,140,600
4035419,baseline,default,0.812282658256217,0.4,0,0,2.923,147,642
4035623,baseline,default,0.8364794252115058,0.4,0,0,2.535,116,508
3761896,baseline,default,0.8170634269995499,0.4,0,0,3.892,121,540
4020158,baseline,default,0.8003753294011545,0.4,0,0,3.056,139,637
4015943,baseline,default,0.8359482800310539,0.4,0,0,2.516,121,561
4015278,baseline,default,0.8213823551134587,0.4,0,0,2.008,116,506
4031299,baseline,default,0.8317412762790563,0.4,0,0,2.312,132,570
3165609,baseline,default,0.8038835840719637,0.4,0,0,2.525,124,550
4034231,baseline,default,0.8459079670198895,0.3,0,0,2.638,125,539
4033330,baseline,default,0.8348510722745137,0.3,0,0,3.268,163,661
1096349,baseline,default,0.8465079908033877,0.3,0,0,3.369,125,532
1097291,baseline,default,0.8230762926671467,0.3,0,0,2.435,124,599
1090347,baseline,default,0.8184614882008596,0.4,0,0,3.454,115,534
1101357,baseline,default,0.8162488311338226,0.3,0,0,3.326,128,565
1099479,baseline,default,0.830503386291112,0.4,0,0,3.597,147,669
1105598,baseline,default,0.8420111477564362,0.4,0,0,3.569,140,658
1104860,baseline,default,0.8093486737845353,0.4,0,0,3.279,137,602
1105866,baseline,default,0.8428274733388298,0.4,0,0,2.549,130,585
1109450,baseline,default,0.8485635386648533,0.3,0,0,3.139,145,568
1108891,baseline,default,0.8336172359146315,0.4,0,0,3.462,132,590
4776928,baseline,default,0.8204935071867216,0.3,0,0,2.723,132,591
4784719,baseline,default,0.8497246827053166,0.3,0,0,2.955,128,568
4784096,baseline,default,0.8315186529379517,0.3,0,0,3.359,129,560
4784443,baseline,default,0.8413639462284465,0.3,0,0,3.476,143,606
4783778,baseline,default,0.8229261501848203,0.3,0,0,3.496,137,593
4793978,baseline,default,0.8236486638721263,0.3,0,0,2.985,136,572
4794006,baseline,default,0.8262663662401325,0.3,0,0,3.071,146,643
4794171,baseline,default,0.8352781976506067,0.3,0,0,2.649,136,620
4794133,baseline,default,0.8342404566248451,0.3,0,0,3.383,150,658
4794134,baseline,default,0.8352192110684353,0.3,0,0,3.529,122,513
4794137,baseline,default,0.8349117527948092,0.3,0,0,3.945,138,604
4794143,baseline,default,0.8355719992987025,0.3,0,0,2.641,141,606
4794127,baseline,default,0.8355162339431192,0.3,0,0,2.494,123,574
4794117,baseline,default,0.8343532765045347,0.3,0,0,3.034,121,490
4794158,baseline,default,0.834940684411189,0.3,0,0,3.164,151,646
4794012,baseline,default,0.8262892413104396,0.3,0,0,2.737,116,532
4793823,baseline,default,0.8134200440633416,0.3,0,0,3.189,148,631
4793944,baseline,default,0.8197610943087822,0.3,0,0,3.372,141,582
4794070,baseline,default,0.8300849338978263,0.3,0,0,2.593,149,629
4794247,baseline,default,0.8456805017968547,0.3,0,0,2.762,127,566
4794231,baseline,default,0.8438554858341719,0.3,0,0,3.652,126,524
4794198,baseline,default,0.8379192565331246,0.3,0,0,4.009,148,676
4794037,baseline,default,0.827779760855894,0.3,0,0,3.657,133,611
4794013,baseline,default,0.8259814033459083,0.3,0,0,3.29,149,616
4794095,baseline,default,0.8369109416930371,0.3,0,0,2.846,144,618
4794262,baseline,default,0.8486832074088229,0.3,0,0,2.58,129,557
4794011,baseline,default,0.82820209329079,0.3,0,0,3.125,129,575
4793832,baseline,default,0.8145644540263379,0.3,0,0,2.273,120,543
4794259,baseline,default,0.8486696241666962,0.3,0,0,2.336,127,584
4796256,baseline,default,0.8219541504046953,0.3,0,0,2.749,146,679
4796491,baseline,default,0.8362696017138915,0.4,0,0,2.673,139,615
4796576,baseline,default,0.8425541289888407,0.3,0,0,3.281,119,543
4796558,baseline,default,0.8413909665684003,0.4,0,0,3.07,132,581
4796584,baseline,default,0.8440156891873862,0.3,0,0,3.514,152,633
4796370,baseline,default,0.8344979610368138,0.3,0,0,2.617,133,555
4796626,baseline,default,0.8481582757382643,0.3,0,0,3.047,123,551
4796617,baseline,default,0.8466932068212503,0.3,0,0,2.626,139,554
4796604,baseline,default,0.845527198933625,0.3,0,0,4.443,134,572
4796319,baseline,default,0.827192734251104,0.3,0,0,3.477,142,630
4796316,baseline,default,0.827015677627146,0.3,0,0,2.881,127,564
4797185,baseline,default,0.8445910904591368,0.3,0,0,3.68,149,639
4796331,baseline,default,0.8307395336050082,0.3,0,0,2.462,130,546
4796343,baseline,default,0.8325043200924481,0.3,0,0,2.825,123,529
4797183,baseline,default,0.8467358520181625,0.3,0,0,2.683,122,523
4796295,baseline,default,0.8249187493857102,0.3,0,0,2.396,126,539
4796329,baseline,default,0.8296095672254632,0.3,0,0,2.488,139,564
4796277,baseline,default,0.8230974998374287,0.3,0,0,2.443,121,516
4797176,baseline,default,0.8488873354089306,0.3,0,0,3.055,130,587
4796181,baseline,default,0.8072391694631023,0.3,0,0,3.213,145,623
4796177,baseline,default,0.8061310114104299,0.3,0,0,2.664,131,584
4796183,baseline,default,0.8095982596879114,0.3,0,0,2.565,146,645
4796546,baseline,default,0.8384538641313786,0.3,0,0,2.667,141,611
4796152,baseline,default,0.8058926768713783,0.3,0,0,2.79,129,566
4796150,baseline,default,0.8032336871284924,0.3,0,0,2.617,131,548
4796140,baseline,default,0.8014877422028753,0.3,0,0,3.062,128,605
4796225,baseline,default,0.816487583274267,0.3,0,0,2.667,123,553
4796556,baseline,default,0.8392938267773044,0.3,0,0,3.271,134,602
4796227,baseline,default,0.8176044418637168,0.3,0,0,2.491,123,538
4796241,baseline,default,0.8207874143664917,0.4,0,0,2.461,129,569
4796233,baseline,default,0.818723691679111,0.3,0,0,2.773,150,622
4796213,baseline,default,0.8147218270147434,0.3,0,0,3.53,144,642
4796207,baseline,default,0.8135858797808437,0.4,0,0,10.646,158,678
4796196,baseline,default,0.811824177439887,0.3,0,0,2.756,125,542
4796187,baseline,default,0.8097744058292641,0.3,0,0,2.355,117,487
4797276,baseline,default,0.8173317292466242,0.3,0,0,3.172,149,658
4797274,baseline,default,0.818812134770057,0.3,0,0,3.095,127,540
4797273,baseline,default,0.8184822164484824,0.3,0,0,2.543,146,638
4797248,baseline,default,0.8248193824912011,0.3,0,0,2.662,115,527
4797242,baseline,default,0.8250940054245645,0.3,0,0,2.358,119,513
4797235,baseline,default,0.8308677642062291,0.3,0,0,3.354,116,508
4797200,baseline,default,0.8384613077847629,0.3,0,0,2.969,124,509
4797197,baseline,default,0.8412146428663434,0.3,0,0,2.962,126,542
4797221,baseline,default,0.8351036605752222,0.3,0,0,3.072,124,536
4797233,baseline,default,0.8323702563290023,0.3,0,0,2.691,124,544
4797316,baseline,default,0.8017705436198215,0.3,0,0,2.118,119,497
4797308,baseline,default,0.8024167729563851,0.3,0,0,2.891,110,499
4797281,baseline,default,0.8134456511868345,0.3,0,0,2.578,122,539
4797289,baseline,default,0.8085886701775051,0.4,0,0,3.015,155,672
4797296,baseline,default,0.8089183199558304,0.3,0,0,2.003,120,518
4797299,baseline,default,0.8068574133859536,0.3,0,0,2.577,122,534
4796368,baseline,default,0.8336807594925914,0.3,0,0,2.978,151,680
4790862,baseline,default,0.8267746663457242,0.3,0,0,2.947,137,606
4839607,baseline,default,0.8355569677628928,0.3,0,0,3.724,143,638
4839636,baseline,default,0.8224112781595269,0.3,0,0,2.73,144,645
4839634,baseline,default,0.8247861232722219,0.3,0,0,2.555,123,510
4839633,baseline,default,0.8235277412904478,0.3,0,0,2.83,116,539
4839629,baseline,default,0.8408319029525435,0.3,0,0,2.392,122,567
4839597,baseline,default,0.8440778396336247,0.3,0,0,3.415,129,578
4839617,baseline,default,0.8355626157397807,0.3,0,0,2.445,107,501
4839593,baseline,default,0.8434309763530925,0.3,0,0,3.077,137,595
4839576,baseline,default,0.8489306091773221,0.3,0,0,2.966,142,620
4839565,baseline,default,0.8354489816460848,0.3,0,0,2.702,159,722
4839654,baseline,default,0.8236654481761247,0.3,0,0,2.985,147,621
4839641,baseline,default,0.8230377260322456,0.3,0,0,3.236,117,539
4839677,baseline,default,0.8081202923641462,0.3,0,0,2.857,123,524
4839673,baseline,default,0.8110799478434687,0.3,0,0,2.525,114,520
4840545,baseline,default,0.8445255809198317,0.3,0,0,2.623,144,662
4838513,baseline,default,0.8026344484257326,0.3,0,0,2.83,152,632
4838554,baseline,default,0.809562053040716,0.3,0,0,2.628,138,584
4838597,baseline,default,0.8163713548298235,0.3,0,0,2.507,132,559
4838598,baseline,default,0.8162025844894218,0.3,0,0,2.531,135,570
4838550,baseline,default,0.8099033264427762,0.3,0,0,2.597,129,560
4838552,baseline,default,0.8097342917529321,0.3,0,0,2.982,125,522
4838541,baseline,default,0.8068713621393899,0.3,0,0,3.489,135,598
4838488,baseline,default,0.8000225355122325,0.3,0,0,3.578,127,545
4838525,baseline,default,0.8021711406143336,0.3,0,0,2.677,141,624
4838535,baseline,default,0.8054275987910344,0.3,0,0,2.437,112,490
4838536,baseline,default,0.8046736448579124,0.3,0,0,2.803,117,535
4838631,baseline,default,0.8220349704268092,0.3,0,0,2.157,116,522
4838629,baseline,default,0.8222021524304406,0.3,0,0,2.476,118,504
4838626,baseline,default,0.8223706431731921,0.3,0,0,4.064,143,637
4838695,baseline,default,0.8308388101809425,0.3,0,0,2.199,120,533
4838639,baseline,default,0.8236062430053097,0.3,0,0,2.222,115,498
4838641,baseline,default,0.823141641968421,0.3,0,0,2.337,123,526
4838655,baseline,default,0.8259972511417063,0.3,0,0,2.858,130,570
