ID,Layer,Mode,Score_Autoencoder,LLM_Prediction,Label,IP_Reputation_Found,Latency_Total,Tokens_Total,Length_Total
3954908,consensus_augmented,synthetic,0.8417948798285722,0.5,0,1,9.734,456,2152
3944337,consensus_augmented,synthetic,0.80258646441367,0.4,0,1,9.32,427,1998
3948663,consensus_augmented,synthetic,0.8445521482235792,0.55,0,1,11.234,477,2115
3947144,consensus_augmented,synthetic,0.826043026121148,0.5,0,1,11.908,505,2269
3947329,consensus_augmented,synthetic,0.8024294086434296,0.5,0,1,8.603,451,2105
3950288,consensus_augmented,synthetic,0.8437107934840288,0.6,0,1,9.396,473,2191
3964703,consensus_augmented,synthetic,0.8112818669896725,0.5,0,1,9.275,455,2118
3943031,consensus_augmented,synthetic,0.8293436390133634,0.5,0,1,9.417,437,2141
3963093,consensus_augmented,synthetic,0.8063714144694881,0.55,0,1,8.595,449,2107
3960531,consensus_augmented,synthetic,0.8025278548740561,0.6,0,1,9.278,440,2038
3779107,consensus_augmented,synthetic,0.8162652502580151,0.55,0,1,9.799,454,2056
3984734,consensus_augmented,synthetic,0.8242453863610564,0.55,0,1,10.916,445,2022
3963251,consensus_augmented,synthetic,0.8422082140376016,0.7,0,1,8.696,452,2089
3949953,consensus_augmented,synthetic,0.8106215020265255,0.65,0,1,9.411,476,2244
3980084,consensus_augmented,synthetic,0.8479173415406471,0.65,0,1,9.154,462,2139
3983146,consensus_augmented,synthetic,0.8092932309947634,0.5,0,1,9.042,501,2307
3983092,consensus_augmented,synthetic,0.8117803361076306,0.55,0,1,7.715,418,2021
3959463,consensus_augmented,synthetic,0.8307228989888438,0.65,0,1,9.099,451,2008
3987843,consensus_augmented,synthetic,0.8048140478413537,0.55,0,1,9.624,465,2225
3983993,consensus_augmented,synthetic,0.8474509791931327,0.7,0,1,7.981,468,2229
3977658,consensus_augmented,synthetic,0.8179410382126298,0.55,0,1,9.035,459,2175
3985606,consensus_augmented,synthetic,0.8416884621692814,0.5,0,1,9.581,465,2120
3982922,consensus_augmented,synthetic,0.804623244359111,0.5,0,1,9.12,467,2205
3979232,consensus_augmented,synthetic,0.830184461540051,0.55,0,1,9.719,461,2104
3979114,consensus_augmented,synthetic,0.8170279452561081,0.6,0,1,8.193,416,1994
4002196,consensus_augmented,synthetic,0.803645491565781,0.5,0,1,9.315,428,2014
3994076,consensus_augmented,synthetic,0.8061016015831394,0.55,0,1,8.609,461,2213
3994482,consensus_augmented,synthetic,0.8285910517364143,0.5,0,1,7.929,440,2064
3999160,consensus_augmented,synthetic,0.8367399969503149,0.65,0,1,10.69,468,2072
3997618,consensus_augmented,synthetic,0.8356647871494094,0.5,0,1,12.487,469,2197
4000622,consensus_augmented,synthetic,0.8417155510443214,0.55,0,1,8.739,413,1850
3997122,consensus_augmented,synthetic,0.8096219354192364,0.5,0,1,9.173,478,2197
3992888,consensus_augmented,synthetic,0.8048404250979908,0.6,0,1,8.588,460,2106
4036102,consensus_augmented,synthetic,0.8081324561440641,0.6,0,1,8.572,433,2091
4016826,consensus_augmented,synthetic,0.806690492252929,0.5,0,1,9.55,437,2084
4035419,consensus_augmented,synthetic,0.812282658256217,0.65,0,1,10.536,456,2165
4035623,consensus_augmented,synthetic,0.8364794252115058,0.6,0,1,7.79,425,2053
3761896,consensus_augmented,synthetic,0.8170634269995499,0.5,0,1,9.007,418,2016
4020158,consensus_augmented,synthetic,0.8003753294011545,0.65,0,1,8.274,446,2030
4015943,consensus_augmented,synthetic,0.8359482800310539,0.5,0,1,9.66,490,2178
4015278,consensus_augmented,synthetic,0.8213823551134587,0.5,0,1,8.196,433,2087
4031299,consensus_augmented,synthetic,0.8317412762790563,0.5,0,1,8.751,505,2319
3165609,consensus_augmented,synthetic,0.8038835840719637,0.65,0,1,8.302,459,2132
4034231,consensus_augmented,synthetic,0.8459079670198895,0.6,0,1,11.519,477,2239
4033330,consensus_augmented,synthetic,0.8348510722745137,0.5,0,1,9.462,442,2021
1096349,consensus_augmented,synthetic,0.8465079908033877,0.6,0,1,8.912,436,2097
1097291,consensus_augmented,synthetic,0.8230762926671467,0.65,0,1,8.404,427,1966
1090347,consensus_augmented,synthetic,0.8184614882008596,0.55,0,1,7.973,417,1996
